@relation TrainMatrixB
@attribute attr1 {0,1}
@attribute attr2 {0,1}
@attribute attr3 {0,1}
@attribute attr4 {0,1}
@attribute attr5 {0,1}
@attribute attr6 {0,1}
@attribute attr7 {0,1}
@attribute attr8 {0,1}
@attribute attr9 {0,1}
@attribute attr10 {0,1}
@attribute attr11 {0,1}
@attribute attr12 {0,1}
@attribute attr13 {0,1}
@attribute attr14 {0,1}
@attribute attr15 {0,1}
@attribute attr16 {0,1}
@attribute attr17 {0,1}
@attribute attr18 {0,1}
@attribute attr19 {0,1}
@attribute attr20 {0,1}
@attribute attr21 {0,1}
@attribute attr22 {0,1}
@attribute attr23 {0,1}
@attribute attr24 {0,1}
@attribute attr25 {0,1}
@attribute attr26 {0,1}
@attribute attr27 {0,1}
@attribute attr28 {0,1}
@attribute attr29 {0,1}
@attribute attr30 {0,1}
@attribute attr31 {0,1}
@attribute attr32 {0,1}
@attribute attr33 {0,1}
@attribute attr34 {0,1}
@attribute attr35 {0,1}
@attribute attr36 {0,1}
@attribute attr37 {0,1}
@attribute attr38 {0,1}
@attribute attr39 {0,1}
@attribute attr40 {0,1}
@attribute attr41 {0,1}
@attribute attr42 {0,1}
@attribute attr43 {0,1}
@attribute attr44 {0,1}
@attribute attr45 {0,1}
@attribute attr46 {0,1}
@attribute attr47 {0,1}
@attribute attr48 {0,1}
@attribute attr49 {0,1}
@attribute attr50 {0,1}
@attribute attr51 {0,1}
@attribute attr52 {0,1}
@attribute attr53 {0,1}
@attribute attr54 {0,1}
@attribute attr55 {0,1}
@attribute attr56 {0,1}
@attribute attr57 {0,1}
@attribute attr58 {0,1}
@attribute attr59 {0,1}
@attribute attr60 {0,1}
@attribute attr61 {0,1}
@attribute attr62 {0,1}
@attribute attr63 {0,1}
@attribute attr64 {0,1}
@attribute attr65 {0,1}
@attribute attr66 {0,1}
@attribute attr67 {0,1}
@attribute attr68 {0,1}
@attribute attr69 {0,1}
@attribute class {0,1}
@data
10,5,1,7,1,5,5,0,6,6,1,1,1,0,4,2,2,0,2,0,0,0,10,10,0,5,0,1,4,10,0,5,0,6,10,5,1,10,10,0,5,5,6,6,10,5,4,10,5,10,5,6,7,10,10,0,6,6,1,1,2,5,2,10,5,2,2,0,0,1
11,5,2,2,3,5,5,0,2,4,4,1,2,0,4,6,5,0,7,0,0,0,11,11,0,5,0,2,0,11,0,5,0,2,11,5,2,11,11,0,5,5,2,4,11,5,4,11,5,11,5,4,2,11,11,0,2,4,4,2,6,5,6,11,5,6,5,0,0,1
4,3,4,2,0,3,3,0,1,0,4,1,4,0,0,1,1,0,2,0,0,0,4,4,0,3,0,4,0,4,0,3,0,1,4,3,4,4,4,0,3,3,1,0,4,3,0,4,3,4,3,0,2,4,4,0,1,0,4,4,1,3,1,4,3,1,1,0,0,1
1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1
5,5,2,4,3,5,5,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,5,5,0,5,0,2,4,5,0,5,0,2,5,5,2,5,5,0,5,5,2,0,5,5,0,5,5,5,5,0,4,5,5,0,2,0,0,2,1,5,1,5,5,1,0,0,0,1
5,3,2,3,0,3,3,0,2,3,1,1,2,0,3,2,2,0,2,0,0,0,5,5,0,3,0,2,0,5,0,3,0,2,5,3,2,5,5,0,3,3,2,3,5,3,3,5,3,5,3,3,3,5,5,0,2,3,1,2,2,3,2,5,3,2,2,0,0,1
5,1,0,0,5,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,5,5,0,1,0,0,0,5,0,1,0,0,5,1,0,5,5,0,1,1,0,1,5,1,1,5,1,5,1,1,0,5,5,0,0,1,0,0,1,1,1,5,1,1,1,0,0,1
4,2,2,1,3,2,2,0,0,3,1,0,2,0,2,2,2,0,2,0,0,0,4,4,0,2,0,2,1,4,0,2,0,0,4,2,2,4,4,0,2,2,0,3,4,2,2,4,2,4,2,3,1,4,4,0,0,3,1,2,2,2,2,4,2,2,2,0,0,1
18,15,6,10,7,15,15,0,11,10,15,3,6,0,7,2,2,0,2,0,0,0,18,18,0,15,0,6,5,18,0,15,0,11,18,15,6,18,18,0,15,15,11,10,18,15,7,18,15,18,15,10,10,18,18,0,11,10,15,6,2,15,2,18,15,2,2,0,0,1
3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,3,3,0,0,0,1,0,3,0,0,0,0,3,0,1,3,3,0,0,0,0,1,3,0,0,3,0,3,0,1,0,3,3,0,0,1,0,1,0,0,0,3,0,0,0,0,0,1
